序号,英文名称,节目名称,集数,时长,声道,年代,国家,豆瓣观看人数,豆瓣评分,,
87,HOSTAGES,人质,15,60,环绕声，多声道,2013,美国,,
88,THE ORIGINALS,初代吸血鬼,13,60,环绕声，多声道,2013,美国,,
91,Pretty Little Liars I,美少女慌言 第1季,22,60,环绕声，多声道,2010,美国,,
92,Pretty Little Liars II,美少女慌言 第2季,25,60,环绕声，多声道,2011,美国,,
93,Revenge I,复仇 第1季,22,60,环绕声，多声道,2011,美国,,
94,Revenge II,复仇 第2季,22,60,环绕声，多声道,2012,美国,,
89,2 Broke Girls I,破产姐妹 第1季,24,30,环绕声，多声道,2011,美国,,
90,2 Broke Girls II,破产姐妹 第2季,24,30,环绕声，多声道,2012,美国,,
27,Friends I,老友记 第1季,24,30,立体声,1994,英国,,
28,FriendsII,老友记 第2季,24,30,立体声,1995,美国,,
29,FriendsIII,老友记 第3季,25,30,立体声,1996,美国,,
30,FriendsIV,老友记 第4季,24,30,立体声,1997,美国,,
31,FriendsV,老友记 第5季,24,30,立体声,1998,美国,,
32,FriendsVI,老友记 第6季,25,30,立体声,1999,美国,,
33,FriendsVII,老友记 第7季,24,30,立体声,2000,美国,,
34,FriendsVIII,老友记 第8季,24,30,立体声,2001,美国,,
35,FriendIX,老友记 第9季,24,30,立体声,2002,美国,,
36,FriendsX,老友记 第10季,18,30,立体声,2003,美国,,
70,Big Bang Theory 3,生活大爆炸 第3季,23,30,环绕声，多声道,2009,美国,,
71,Big Bang Theory 4,生活大爆炸 第4季,24,30,环绕声，多声道,2010,美国,,
72,Big Bang Theory 5,生活大爆炸 第5季,24,30,环绕声，多声道,2011,美国,,
73,Big Bang Theory 6,生活大爆炸 第6季,24,30,环绕声，多声道,2012,美国,,
57,"BIG C, THE: SEASON 01",如果还有明天 第1季,13,30,立体声,2010,美国,,
58,"BIG C, THE: SEASON 02",如果还有明天 第2季,13,30,立体声,2011,美国,,
59,The Big C 3,如果还有明天 第3季,10,30,环绕声，多声道,2012,美国,,
