序号,英文名称,节目名称,类別,集数,时长,国家,配音,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
40,Warriors,勇士,人文、历史,6,60,英国,汉语,64175,28524,None,54357,http://movie.douban.com/subject/3217169/,2011,Warrior,22216,8.9,432,勇士
41,Chocolate Alchemy,巧克力炼金术,人文、历史,1,60,日本,汉语,23224,4265,2922,22627,http://movie.douban.com/subject/3430169/,2009,鋼の錬金術師 FULLMETAL ALCHEMIST,5189,9.3,135,钢之炼金术师FA
42,The Habsburg Empire,哈布斯堡帝国,人文、历史,3,60,日本,汉语,15,22,3,16,http://movie.douban.com/subject/24526724/,2011,Habsburg Empire,4,0,0,哈布斯堡帝国
43,Hiroshima,广岛,人文、历史,1,90,英国,汉语,22155,17740,None,13894,http://movie.douban.com/subject/1302050/,1959,Hiroshima mon amour,3312,7.7,127,广岛之恋
44,Hannibal,汉尼拔,人文、历史,1,90,英国,汉语,20848,16829,10769,22181,http://movie.douban.com/subject/10539856/,2013,Hannibal,7254,8,83,汉尼拔 第一季
45,Takeshi Kaneshiro's Antarctic Adventure,金城武的南极探险,人文、历史,2,60,日本,汉语,1360,1888,81,959,http://movie.douban.com/subject/5356182/,2003,金城武の極地任務,450,8.5,7,金城武南极探险之旅
46,window to the louvre,卢浮宫之旅,人文、历史,3,60,日本,汉语,558,1373,112,527,http://movie.douban.com/subject/4059077/,2009,卢浮宫之旅,110,8.4,1,卢浮宫之旅
47,The Ascent of Money,金钱的故事,人文、历史,6,60,英国,汉语,426,165,78,348,http://movie.douban.com/subject/4920405/,2010,崖っぷちのエリー～この世でいちばん大事な『カネ』の話,124,6.3,2,崖沿的绘理～世界上最重要之『金钱』的故事
48,Gugongs Treasure,故宫至宝,人文、历史,12,60,日本,汉语,1312,2461,376,1158,http://movie.douban.com/subject/1939521/,1998,故宮～至宝が語る中華五千年～,272,9.3,7,故宫的至宝
49,HUMAN JOURNEY,人类旅程,人文、历史,5,60,英国,汉语,233,339,1,187,http://movie.douban.com/subject/3773212/,,The Incredible Human Journey,67,8.8,6,奇妙的人类旅程
50,,再说长江,人文、历史,33,30,中国,汉语,,,,,,,,,,,
51,,奥运档案,人文、历史,11,60,中国,汉语,,,,,,,,,,,
52,,故宫,人文、历史,12,60,中国,汉语,,,,,,,,,,,
53,,颐和园,人文、历史,6,60,中国,汉语,,,,,,,,,,,
54,,敦煌,人文、历史,10,60,中国,汉语,,,,,,,,,,,
55,,大三峡,人文、历史,8,60,中国,汉语,,,,,,,,,,,
56,,故宫精编,人文、历史,2,60,中国,汉语,,,,,,,,,,,
57,,天堂,人文、历史,2,60,中国,汉语,,,,,,,,,,,
58,Ancient World Eps 1-6,古老的世界,人文、历史,6,60,英国,汉语,97,2160,None,68,http://movie.douban.com/subject/24878178/,2013,無涯：杜琪峰的電影世界,41,9.4,7,无涯：杜琪峰的电影世界
59,Paul Merton In Europe,保罗莫顿在欧洲,人文、历史,6,60,英国,汉语,,,,,,,,,,,
60,Paul Merton In India,保罗莫顿在印度,人文、历史,5,60,英国,汉语,,,,,,,,,,,
61,"Seven Ages Of Britain, The",英国文化的七个时代,人文、历史,7,60,英国,汉语,210,360,32,179,http://movie.douban.com/subject/3671959/,2010,The Seven Ages of Britain,54,8.7,2,英国的七个纪元
63,Museum Secrets,博物馆的秘密,人文、历史,12,60,英国,汉语,82,169,41,78,http://movie.douban.com/subject/19976109/,2010,Museum Secrets,26,8.8,0,博物馆的秘密 第一季
64,Museum Secrets Specials,博物馆的秘密——特别篇,人文、历史,2,60,英国,汉语,4951,3953,None,4414,http://movie.douban.com/subject/25790749/,2014,最高の離婚Special 2014,2497,9.4,35,最完美的离婚 2014特别篇
66,Planet Science,地球科学,科技探索,13,60,英国,汉语,4,0,None,3,http://movie.douban.com/subject/25808126/,2010,Planet Science,2,0,0,星球奥秘
70,Vertical City,城市之巅,科技探索,10,60,英国,汉语,3,1,1,2,http://movie.douban.com/subject/20514877/,2009-today,Vertical City,1,0,0,摩天之城
71,Design Superheroes,设计超人,科技探索,6,30,英国,汉语,,,,,,,,,,,
72,Gear,引擎,科技探索,13,30,英国,汉语,73,205,19,55,http://movie.douban.com/subject/2979655/,2006,hyperdrive,18,7.3,0,超光速引擎
73,The Best Recipes In the World,舌尖上的世界,科技探索,13,30,美国,汉语,83810,23109,14054,77308,http://movie.douban.com/subject/10606004/,2012,舌尖上的中国,24061,9.1,533,舌尖上的中国
74,First Ascent: The Series,世界之巅,科技探索,6,30,美国,汉语,11,4,None,5,http://movie.douban.com/subject/1302217/,1998,Top of the World,2,0,0,世界之巅
75,Save My Planet,绿色生活,科技探索,13,30,美国,汉语,5,15,None,5,http://movie.douban.com/subject/5155620/,2011,My Life in Orange,3,0,0,我的橙色生活
76,Sky View,空中游欧陆,科技探索,4,30,英国,汉语,3,0,1,4,http://movie.douban.com/subject/25742235/,2009,Sky View,0,0,0,空中游欧陆 第一季
77,Mega Art,建造巨型艺术,科技探索,3,60,英国,汉语,,,,,,,,,,,
78,What is Beauty,美是什么,科技探索,1,60,英国,汉语,475,1164,None,326,http://movie.douban.com/subject/4831229/,2009,What is Beauty,129,7.9,6,BBC.何为美
79,Blowdown,爆破达人,科技探索,4,60,美国,汉语,12,3,None,8,http://movie.douban.com/subject/7014879/,2008,National Geographic - Explosive Engineering: Blowdown Vegas Casino,1,0,0,国家地理 爆破达人 前进赌场
67,True Stories,真实的故事,科技探索,5,60,英国,汉语,15,52,None,7,http://movie.douban.com/subject/1307564/,1986,True Stories,2,0,0,德克萨斯的音乐之旅
