序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
361,"STEPFATHER, THE (2009)",继父,惊悚,立体声,1:41:19,2009,美国,4682,1129,None,3676,http://movie.douban.com/subject/2252771/,2009,The Stepfather,1166,5.7,22,继父
362,STEPMOM,继母,剧情,环绕声，多声道,2:04:54,1998,美国,4268,3587,None,2993,http://movie.douban.com/subject/1296993/,1998,Stepmom,494,7.7,9,真爱同心
363,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盜1:黑珍珠号的,奇幻,,2:00:00,2003,美国,298717,7298,None,212156,http://movie.douban.com/subject/1298070/,2003,Pirates of the Caribbean: The Curse of the Black Pearl,24834,8.4,167,加勒比海盗
364,Pirates of the Caribbean: Dead Man's Chest,加勒比海盗2:聚魂棺,奇幻,,2:00:00,2006,美国,185621,4882,None,133704,http://movie.douban.com/subject/1315574/,2006,Pirates of the Caribbean: Dead Man's Chest,12056,7.8,110,加勒比海盗2：聚魂棺
365,Pirates of the Caribbean: At World's End,加勒比海盜3:世界的尽头,奇幻,,2:00:00,2007,美国,180915,5271,None,131069,http://movie.douban.com/subject/1418192/,2007,Pirates of the Caribbean: At World's End,13867,7.7,283,加勒比海盗3：世界的尽头
366,We are Marshal1,加油马歇尔,剧情,立体声,2:05:55,2006,美国,1441,1519,None,1093,http://movie.douban.com/subject/1857082/,2006,We Are Marshall,225,7.5,16,后继有人
367,House Party: Tonight's the Night,家庭派对：就在今夜,喜剧,环绕声，多声道,1:34:34,2013,美国,101,11,None,82,http://movie.douban.com/subject/24750972/,2013,House Party: Tonight's the Night,30,5.3,0,家庭派对：就在今夜
368,Jack,家有杰克,喜剧,,2:00:00,1996,美国,3009,885,None,2196,http://movie.douban.com/subject/1293779/,1996,Jack,311,7.5,5,家有杰克
369,BEWITCHED (2005),家有仙妻,奇幻,环绕声，多声道,1:41:54,1999,美国,2347,89,7,1561,http://movie.douban.com/subject/2212165/,1999,家有仙妻Ⅱ,203,6.8,1,家有仙妻2
370,LAYER CAKE,夹心蛋糕,罪案,立体声,1:39:30,2004,美国,6474,3900,None,4977,http://movie.douban.com/subject/1309185/,2004,Layer Cake,1216,7.1,32,夹心蛋糕
371,The Proposal,假结婚,爱情,,2:00:00,2009,美国,117660,11165,None,90030,http://movie.douban.com/subject/3011102/,2009,The Proposal,19957,6.9,241,假结婚
372,Rush Hour 3,尖峰时刻3,动作,,2:00:00,2007,美国,28366,906,None,19280,http://movie.douban.com/subject/1422106/,2007,Rush Hour 3,1493,6.1,46,尖峰时刻3
373,A Mighty Heart,坚强的心,动作,,2:00:00,2007,美国/英国,5077,2491,None,3576,http://movie.douban.com/subject/1867342/,2007,A Mighty Heart,648,7.3,50,坚强的心
374,INSIDE JOB (2010),监守自盗,纪录,立体声,1:32:03,2010,美国,24034,23176,None,18804,http://movie.douban.com/subject/4843480/,2010,Inside Job,6776,8.6,165,监守自盗
375,Pariah,贱民,剧情,环绕声，多声道,1:23:49,2011,美国,363,394,None,295,http://movie.douban.com/subject/5385557/,2011,Pariah,130,6.3,2,贱民
376,Sword Fish,剑鱼行动,动作,立体声,1:35:01,2001,美国,43195,5696,None,32664,http://movie.douban.com/subject/1304608/,2001,Swordfish,4484,7.3,60,剑鱼行动
377,GLADIATOR,角斗士,动作,环绕声，多声道,2:24:28,2000,美国,121930,13741,None,87667,http://movie.douban.com/subject/1293530/,2000,Gladiator,10877,8.3,177,角斗士
378,The Cunning Little Vixen,狡猾的小狐狸,动画,立体声,0:57:49,2003,英国,159,57,None,106,http://movie.douban.com/subject/3271080/,2003,the cunning little vixen,32,5.1,2,狡猾的小狐狸
379,STOMP THE YARD: HOMECOMING,街舞少年:回家,歌舞,立体声,1:27:35,2010,美国,257,71,None,197,http://movie.douban.com/subject/5162088/,2010,Stomp the Yard 2: Homecoming,68,4.7,0,街舞少年2
380,TAKERS (2010),劫匪,罪案,立体声,1:46:51,2013,美国,560,354,None,487,http://movie.douban.com/subject/20388674/,2013,Special Chabbis,204,6.9,3,26个特殊劫匪
381,JACK AND JILL,杰克与吉尔,喜剧,环绕声，多声道,1:26:14,2011,美国,6411,2138,None,5092,http://movie.douban.com/subject/3269019/,2011,Jack and Jill,2039,5.6,9,杰克与吉尔
382,JESSE STONE: NO REMORSE,杰西警探：无悔追踪,罪案,立体声,1:25:24,2010,美国,42,18,None,36,http://movie.douban.com/subject/3292053/,2010,Jesse Stone: No Remorse,6,5.6,0,杰西警探犯罪档案：无悔追踪
383,License to Wed,结婚证书,爱情,立体声,1:27:34,2007,美国,5990,1599,None,4329,http://movie.douban.com/subject/2045321/,2007,License to Wed,816,6.4,38,结婚证书
384,My Sister's Keeper,姐姐的守护者,剧情,,2:00:00,2009,美国,53585,19704,None,42984,http://movie.douban.com/subject/3011049/,2009,My Sister's Keeper,11228,8.2,379,姐姐的守护者
385,Alien Autopsy,解剖外星人,科幻,,2:00:00,2006,德国/英国,2310,1336,None,1744,http://movie.douban.com/subject/1812876/,2006,Alien Autopsy,369,7.5,10,解剖外星人
386,THIS CHRISTMAS,今年圣诞节,剧情,立体声,1:58:49,2007,美国,393,153,None,291,http://movie.douban.com/subject/2135787/,2007,This Christmas,67,6.6,3,今年圣诞节
387,TAKE ME HOME TONIGHT,今晚帯我回家,喜剧,立体声,1:31:57,2011,美国,6098,3367,None,4875,http://movie.douban.com/subject/2230893/,2011,Take Me Home Tonight,1470,6.2,16,今晚带我回家
388,KING KONG  ('05),金刚,奇幻,环绕声，多声道,2:59:36,2013,美国,2154,1550,None,1825,http://movie.douban.com/subject/19975090/,2013,金刚王：死亡救赎,960,5.3,109,金刚王：死亡救赎
389,I SPY,金牌间谍,悬疑,立体声,1:36:11,2002,美国,1567,113,None,1234,http://movie.douban.com/subject/1300162/,2002,I Spy,124,5.8,0,我是间谍
390,"PRODUCERS, THE (2005)",金牌制作人,喜剧,环绕声，多声道,1:48:21,2005,美国,3224,995,None,2441,http://movie.douban.com/subject/1479817/,2005,The Producers,483,6.8,14,金牌制作人
391,ON GOLDEN POND,金色池塘,剧情,立体声,1:44:40,1981,美国,16786,14194,None,12176,http://movie.douban.com/subject/1293767/,1981,On Golden Pond,2522,8.8,78,金色池塘
392,AS GOOD AS IT GETS,尽善尽美,剧情,立体声,2:17:59,1997,美国,11788,7750,None,8872,http://movie.douban.com/subject/1293917/,1997,As Good as It Gets,2085,7.9,66,尽善尽美
393,EVOLUTION (2001),进化危机,科幻,立体声,1:41:22,2001,美国,9821,883,None,7514,http://movie.douban.com/subject/1297611/,2001,Evolution,1660,6.6,15,进化危机
394,CONTRABAND,禁运品,罪案,环绕声，多声道,1:46:26,2012,美国,9979,1716,None,8060,http://movie.douban.com/subject/4074733/,2012,Contraband,2450,6.3,35,禁运品
395,THURSDAY,惊爆星期四,罪案,环绕声，多声道,1:15:27,1998,美国,342,253,None,271,http://movie.douban.com/subject/1304982/,1998,Thursday,92,7.5,1,惊爆星期四
396,30 MINUTES OR LESS,惊魂半小时,惊悚,环绕声，多声道,1:17:04,2011,美国,8293,2763,None,6804,http://movie.douban.com/subject/4745364/,2011,30 Minutes or Less,2533,6.2,24,惊魂半小时
397,The Insider,惊曝内幕,传记,,2:00:00,1999,美国,14731,12147,None,11112,http://movie.douban.com/subject/1292660/,1999,The Insider,2387,8,82,惊曝内幕
398,Wild Hogs,惊骑之旅,冒险,,2:00:00,2007,美国,8345,1996,None,6311,http://movie.douban.com/subject/1902105/,2007,Wild Hogs,1003,6.9,37,荒野大飚客
399,BRAM STOKER'S DRACULA,惊情四百年,惊悚,环绕声，多声道,2:02:45,1992,美国,102596,20582,None,74282,http://movie.douban.com/subject/1293124/,1992,Dracula,13636,7.7,266,惊情四百年
400,The Guardian,惊涛大冒险,动作,,2:00:00,2006,美国,5443,900,None,4252,http://movie.douban.com/subject/1507158/,2006,The Guardian,865,7.3,58,惊涛大冒险
401,"RIVER WILD, THE",惊涛骇浪,冒险,环绕声，多声道,1:46:44,1994,美国,1637,363,None,1211,http://movie.douban.com/subject/1298406/,1994,The River Wild,259,7.2,10,狂野之河
402,STUART LITTLE,精灵鼠小弟,奇幻,立体声,1:24:26,1999,美国,108592,1367,None,74281,http://movie.douban.com/subject/1295242/,1999,Stuart Little,4755,7.3,11,精灵鼠小弟
403,STUART LITTLE 2,精灵鼠小弟2,奇幻,立体声,1:17:33,2002,美国,34179,597,None,22806,http://movie.douban.com/subject/1306802/,2002,Stuart Little 2,1128,6.9,4,精灵鼠小弟2
404,STUART LITTLE 3: CALL OF THE WILD,精灵鼠小弟3,奇幻,立体声,1:15:13,1999,美国,108592,1367,None,74281,http://movie.douban.com/subject/1295242/,1999,Stuart Little,4755,7.3,11,精灵鼠小弟
405,Bullitt,警网铁金刚,动作,立体声,1:49:01,1968,美国,389,490,None,307,http://movie.douban.com/subject/1293192/,1968,Bullitt,107,7.8,4,警网铁金刚
406,The Guilt Trip,纠结之旅,喜剧,,2:00:00,2012,美国,2014,1252,None,1653,http://movie.douban.com/subject/5064220/,2012,The Guilt Trip,672,7,6,纠结之旅
407,HALF PAST DEAD,九死一生,动作,立体声,1:34:17,2007,美国,346,35,None,293,http://movie.douban.com/subject/1829085/,2007,7eventy 5ive,75,4.9,2,九死一生
408,This Is It,就是这样,纪录片,立体声,1:51:06,2009,美国,92230,30298,None,69876,http://movie.douban.com/subject/3920977/,2009,This Is It,18305,8.7,859,就是这样
409,SNIPER: RELOADED,狙击精英：重装上阵,战争,立体声,1:28:47,2010,美国,3686,168,None,2964,http://movie.douban.com/subject/5158655/,2010,Sniper: Reloaded,854,5.3,10,狙击精英：重装上阵
410,D-TOX,狙击杀手,动作,环绕声，多声道,1:31:45,2002,美国,874,88,None,673,http://movie.douban.com/subject/1306507/,2002,D-Tox,133,5.5,3,狙击杀手
411,The Foreigner,狙击速递,动作,立体声,1:35:49,2003,美国,234,53,None,149,http://movie.douban.com/subject/1305137/,2003,The Foreigner,15,5.2,0,狙击速递
412,"JACKAL, THE",狙击职业杀手,动作,环绕声，多声道,1:56:46,1997,美国,5383,673,None,4086,http://movie.douban.com/subject/1294863/,1997,The Jackal,630,6.6,21,狙击职业杀手
413,Jack the Giant Slayer,巨人捕手杰克,奇幻,环绕声，多声道,1:54:05,2013,美国,24530,5949,None,20836,http://movie.douban.com/subject/3415993/,2013,Jack the Giant Slayer,8732,6.1,87,巨人捕手杰克
414,Mighty Joe Young,巨猩乔扬,惊悚,,2:00:00,1998,美国,1314,136,None,951,http://movie.douban.com/subject/1293875/,1998,Mighty Joe Young,192,6.8,4,无敌大猩猩
415,The Hurricane,飓风,运动,,2:00:00,1999,美国,3868,2581,None,3111,http://movie.douban.com/subject/1294497/,1999,The Hurricane,820,8.3,17,飓风
416,North Country,决不让步,剧情,,2:00:00,2005,美国,3490,3074,None,2534,http://movie.douban.com/subject/1428876/,2005,North Country,534,7.6,35,决不让步
417,Erin Brockovich,决不妥协,剧情,立体声,2:01:10,2000,美国,44021,14578,None,31907,http://movie.douban.com/subject/1293050/,2000,Erin Brockovich,5904,8.1,123,永不妥协
418,21 (2008),决胜21点,剧情,环绕声，多声道,1:57:37,2008,美国,49014,6875,None,37285,http://movie.douban.com/subject/2156945/,2008,21,7006,6.6,201,决胜21点
419,MARIE ANTOINETTE,绝代艳后,剧情,立体声,2:02:45,2006,美国,52570,8643,None,38089,http://movie.douban.com/subject/1476023/,2006,Marie Antoinette,9292,6.6,256,绝代艳后
420,BAD BOYS (1995),绝地战警,动作,环绕声，多声道,1:53:37,1995,美国,23502,2207,None,17026,http://movie.douban.com/subject/1296102/,1995,Bad Boys,1794,7.2,20,绝地战警
421,Bad Boys II,绝地战警2,动作,立体声,2:15:45,2003,美国,20551,1829,None,14748,http://movie.douban.com/subject/1307917/,2003,Bad Boys II,1500,7.2,20,绝地战警2
422,POPULATION 436,绝命人口436,惊悚,立体声,1:28:22,2006,美国,562,184,None,441,http://movie.douban.com/subject/1788680/,2006,Population 436,85,6.1,16,绝命人口436
423,Casablanca,卡萨布兰卡,爱情,立体声,1:38:20,1942,美国,114349,35912,None,80097,http://movie.douban.com/subject/1296753/,1942,Casablanca,15989,8.6,291,卡萨布兰卡
424,Frankenweenie,科学怪狗,动画,,2:00:00,2012,美国,35813,21363,None,29812,http://movie.douban.com/subject/2336783/,2012,Frankenweenie,13510,7.3,87,科学怪狗
425,Horrible Bosses,可恶的老板,喜剧,立体声,1:44:10,2011,美国,38974,10200,None,32145,http://movie.douban.com/subject/4004715/,2011,Horrible Bosses,11670,7,77,恶老板
426,Kramer vs. Kramer,克莱默夫妇,剧情,立体声,1:43:55,1979,美国,37383,14854,None,27800,http://movie.douban.com/subject/1300685/,1979,Kramer vs. Kramer,5938,8.4,153,克莱默夫妇
427,"CLIENT LIST, THE",客户名单,剧情,立体声,1:26:58,2012,美国,833,252,223,747,http://movie.douban.com/subject/10535619/,2012,The Client List,288,5.2,6,客户名单 第一季
428,Air Force One,空军一号,动作,,2:00:00,1997,美国/德国,55919,2531,None,40570,http://movie.douban.com/subject/1293537/,1997,Air Force One,4548,7.3,64,空军一号
429,Con Air,空中监狱,动作,,2:00:00,1997,美国,108706,6572,None,79218,http://movie.douban.com/subject/1300618/,1997,Con Air,9679,8,100,空中监狱
430,CAPE FEAR ('91),恐怖角,罪案,环绕声，多声道,2:02:09,1991,美国,5617,3450,None,4302,http://movie.douban.com/subject/1299107/,1991,Cape Fear,1098,7.3,16,恐怖角
431,The Frighteners,恐怖幽灵,恐怖,环绕声，多声道,1:44:54,1996,美国,2642,1379,None,2111,http://movie.douban.com/subject/1292739/,1996,The Frighteners,547,7.1,20,恐怖幽灵
432,"LIMITS OF CONTROL, THE",控制的极限,罪案,环绕声，多声道,1:38:55,2009,美国,3528,2594,None,2603,http://movie.douban.com/subject/2299659/,2009,The Limits of Control,1129,6.5,48,控制的极限
433,DUPLICITY,口是心非,罪案,环绕声，多声道,1:56:11,2009,美国,9612,3508,None,7478,http://movie.douban.com/subject/2968611/,2009,Duplicity,1528,6.2,55,口是心非
434,That Darn Cat,酷猫妙探,家庭,,2:00:00,1997,美国,64,54,None,40,http://movie.douban.com/subject/1304880/,1997,That Darn Cat,11,6.3,1,酷猫妙探
435,Happy Feet,快乐的大脚,动画,立体声,1:48:18,2006,美国,60637,5691,None,43817,http://movie.douban.com/subject/1760027/,2006,Happy Feet,5888,7.2,160,快乐的大脚
436,Happy Feet Two,快乐的大脚2,动画,立体声,1:32:52,2011,美国,23020,5873,None,18544,http://movie.douban.com/subject/3626364/,2011,Happy Feet Two,7931,7,81,快乐的大脚2
437,Joyful Noise,快乐的噪音,喜剧,环绕声，多声道,1:57:41,2012,美国,203,211,None,156,http://movie.douban.com/subject/5244213/,2012,Joyful Noise,82,5.8,2,快乐的噪音
438,ANACONDA,狂蟒之灾,惊悚,环绕声，多声道,1:25:38,1997,美国,26308,452,None,18302,http://movie.douban.com/subject/1300830/,1997,Anaconda,1759,6.4,9,狂蟒之灾
439,ANACONDAS: TRAIL OF BLOOD,狂蟒之灾4,惊悚,立体声,1:24:55,2009,美国,2646,162,None,1923,http://movie.douban.com/subject/3011606/,2009,Anaconda 4: Trail of Blood,319,4,10,狂蟒之灾4
440,The Fan,狂迷,惊悚,立体声,1:47:00,,美国,7,99,None,7,http://movie.douban.com/subject/4881218/,,Zombiemania,3,0,0,丧尸狂迷
441,BEING JOHN MALKOVICH,愧儡人生,喜剧,环绕声，多声道,1:46:47,1999,美国,29821,25441,None,23214,http://movie.douban.com/subject/1292279/,1999,Being John Malkovich,5611,8.2,182,成为约翰·马尔科维奇
442,Freaky Friday,辣妈辣妹,奇幻,,2:00:00,2003,美国,53851,3383,None,39513,http://movie.douban.com/subject/1307955/,2003,Freaky Friday,5231,7.2,53,辣妈辣妹
443,MAN OF THE HOUSE (2005),辣妹保镖,喜剧,环绕声，多声道,1:35:45,2005,美国,1118,170,None,803,http://movie.douban.com/subject/1308999/,2005,Man of the House,134,5.9,4,辣妹保镖
444,WHEN A STRANGER CALLS (2006),来电惊魂,恐怖,立体声,1:32:22,2006,美国,10415,522,None,7818,http://movie.douban.com/subject/1461348/,2006,When a Stranger Calls,1494,5.7,48,来电惊魂
445,Failure to Launch,赖家王老五,喜剧,,2:00:00,2006,美国,6142,1381,None,4493,http://movie.douban.com/subject/1547134/,2006,Failure to Launch,772,6,15,赖家王老五
446,Rango,兰戈,动画,,2:00:00,2011,美国,76942,22002,None,61488,http://movie.douban.com/subject/2998253/,2011,Rango,19270,7.7,201,兰戈
447,The Smurfs,蓝精灵,动画,立体声,1:37:48,2011,美国,92589,21086,None,73150,http://movie.douban.com/subject/2159331/,2011,The Smurfs,27747,7.3,341,蓝精灵
448,BLUE CRUSH,蓝色激情,运动,环绕声，多声道,1:39:53,2011,美国,1551,264,None,1209,http://movie.douban.com/subject/4849720/,2011,Blue Crush 2,452,6.9,9,蓝色激情 2
449,"WOLFMAN, THE",狼人,恐怖,环绕声，多声道,1:37:59,2010,美国,4,0,None,2,http://movie.douban.com/subject/20503557/,2010,猎狼人,0,0,0,猎狼人
450,"TALE OF DESPEREAUX, THE",浪漫的老鼠,动画,环绕声，多声道,1:29:35,2008,美国,12781,2506,None,9849,http://movie.douban.com/subject/1972721/,2008,The Tale of Despereaux,1859,6.5,55,浪漫鼠德佩罗
451,DADDY DAY CAMP,老爸夏令营,喜剧,立体声,1:26:46,2007,美国,858,126,None,623,http://movie.douban.com/subject/2043014/,2007,Daddy Day Camp,83,5.9,2,老爸夏令营
452,big daddy,老爸向前沖,喜剧,立体声,1:29:05,1999,美国,8815,3366,None,6664,http://movie.douban.com/subject/1295283/,1999,Big Daddy,1290,7.3,13,冒牌老爸
453,Dr. Seuss’ The Lorax,老雷斯的故事,动画,环绕声，多声道,1:26:08,2012,美国,21282,7551,None,17605,http://movie.douban.com/subject/3893805/,2012,Dr. Seuss' The Lorax,7469,6.5,75,老雷斯的故事
454,No Country for Old Men,老无所依,罪案,,2:00:00,2007,美国,114059,27460,None,83904,http://movie.douban.com/subject/1857099/,2007,No Country for Old Men,19161,7.8,855,老无所依
455,Gran Torino,老爷车,罪案,,2:00:00,2008,美国/澳大利亚,41225,19337,None,33386,http://movie.douban.com/subject/3026357/,2008,Gran Torino,7755,8.6,347,老爷车
456,LEGO: The Batman Movie,乐高：蝙蝠侠电影,动画,环绕声，多声道,1:10:40,2013,美国,2538,1317,None,2231,http://movie.douban.com/subject/21349175/,2013,LEGO Batman: The Movie - DC Superheroes Unite,1086,8.1,4,乐高蝙蝠侠大电影
457,The Great Gatsby,了不起的盖茨比,爱情,环绕声，多声道,2:22:02,2013,美国,178567,64921,None,150854,http://movie.douban.com/subject/3364223/,2013,The Great Gatsby,67984,7.6,1824,了不起的盖茨比
458,Thor,雷神,科幻,,2:00:00,2013,美国,76773,17355,None,67272,http://movie.douban.com/subject/6560058/,2013,Thor: The Dark World,32038,7.6,319,雷神2：黑暗世界
459,Thunderstruck,雷霆万钧,运动,环绕声，多声道,1:32:41,2012,美国,1091,253,None,959,http://movie.douban.com/subject/10462973/,2012,Thunderstruck,414,5.8,1,雷霆万钧
460,Cold Mountain,冷山,战争,,2:00:00,2003,美国,93916,23571,None,67593,http://movie.douban.com/subject/1307332/,2003,Cold Mountain,13499,7.8,348,冷山
461,dragon： BRUCE LEE STORY,李小龙传,传记,环绕声，多声道,1:54:36,1993,美国,1129,175,None,824,http://movie.douban.com/subject/1293961/,1993,Dragon: The Bruce Lee Story,120,6.2,6,李小龙传
462,SENSE AND SENSIBILITY,理智与情感,剧情,环绕声，多声道,2:16:12,1995,美国,52921,28923,None,37797,http://movie.douban.com/subject/1299193/,1995,Sense and Sensibility,8788,8.1,231,理智与情感
463,TWO FOR THE MONEY,利欲两心,剧情,立体声,1:57:09,2005,美国,2738,721,None,1999,http://movie.douban.com/subject/1438299/,2005,Two for the Money,374,6.6,10,利欲两心
464,The Lizzie McGuire Movie,莉琪的异想世界,冒险,,2:00:00,2003,美国,23581,3065,None,16989,http://movie.douban.com/subject/1298297/,2003,The Lizzie McGuire Movie,2127,6.6,36,莉琪的异想世界
465,HOW TO MAKE AN AMERICAN QUILT,恋爱编织梦,剧情,环绕声，多声道,1:50:26,1995,美国,577,2107,None,421,http://movie.douban.com/subject/1293549/,1995,How to Make an American Quilt,115,7.8,5,恋爱编织梦
466,"HOLIDAY, THE",恋爱假期,爱情,环绕声，多声道,2:09:40,2006,美国,111349,21916,None,82261,http://movie.douban.com/subject/1498831/,2006,The Holiday,19534,7.5,409,恋爱假期
467,Ladder 49,烈火雄心,罪案,,2:00:00,2004,美国,3173,550,None,2481,http://movie.douban.com/subject/1308758/,2004,Ladder 49,470,7.1,14,烈火雄心
468,Hellboy II: The Golden Army,烈焰奇侠：黄金军团,奇幻,环绕声，多声道,1:54:21,2008,美国,36443,2353,None,28116,http://movie.douban.com/subject/1873750/,2008,Hellboy 2: The Golden Army,3754,6.6,136,地狱男爵2：黄金军团
469,Bad Company,临时特工,动作,,2:00:00,2002,美国/捷克,3771,787,None,2781,http://movie.douban.com/subject/1294858/,2002,Bad Company,388,6.4,5,临时特工
470,A Thousand Words,临终千言,喜剧,,2:00:00,2012,美国,5371,1298,None,4343,http://movie.douban.com/subject/3008659/,2012,A Thousand Words,1417,6.3,23,临终千言
471,COLD CREEK MANOR,凛冽庄园,惊悚,立体声,1:49:24,2003,美国,315,149,None,230,http://movie.douban.com/subject/1306054/,2003,Cold Creek Manor,40,4.9,2,大宅惊魂
472,SOUL SURFER,灵魂冲浪,运动,立体声,1:42:03,2011,美国,9334,8445,None,7479,http://movie.douban.com/subject/4301274/,2011,Soul Surfer,2813,8,50,灵魂冲浪人
473,RAY,灵魂歌王,剧情,环绕声，多声道,2:20:54,2004,美国,9962,7615,None,7169,http://movie.douban.com/subject/1309085/,2004,Ray,1229,8.1,38,灵魂歌王
474,GHOST RIDER,灵魂战车,奇幻,立体声,1:50:01,2007,美国,63881,2510,None,46609,http://movie.douban.com/subject/1482077/,2007,Ghost Rider,6249,6.1,122,灵魂战车
475,"FORGOTTEN, THE",灵异拼图,惊悚,立体声,1:31:02,2004,美国,3975,1017,None,2980,http://movie.douban.com/subject/1308761/,2004,The Forgotten,720,6,27,灵异拼图
476,CEMETERY JUNCTION,陵园路口,剧情,立体声,1:34:36,2010,美国,8352,5138,None,6751,http://movie.douban.com/subject/3003842/,2010,Cemetery Junction,2393,7.6,73,陵园路口
477,SUSPECT ZERO,零号嫌疑犯,罪案,立体声,1:39:20,2004,美国,1346,853,None,1013,http://movie.douban.com/subject/1309166/,2004,Suspect Zero,202,6.6,16,零号嫌疑犯
478,The Other Boleyn Girl,另一个波琳家的女孩,剧情,环绕声，多声道,1:49:27,2008,美国,65318,12720,None,48829,http://movie.douban.com/subject/1863955/,2008,The Other Boleyn Girl,12406,6.8,323,另一个波琳家的女孩
479,Raising Helen,流行教母,剧情,,2:00:00,2004,美国,1883,726,None,1353,http://movie.douban.com/subject/1309174/,2004,Raising Helen,194,6.4,4,流行教母
480,Rumor Has It,流言蜚语,喜剧,立体声,1:32:38,2005,美国,7807,1711,None,5782,http://movie.douban.com/subject/1422911/,2005,Rumor Has It...,1369,6.3,67,流言蜚语
481,Six Days Seven Nights,六天七夜,动作,,2:00:00,1998,美国,11585,913,None,8237,http://movie.douban.com/subject/1299662/,1998,Six Days Seven Nights,1006,6.5,27,六天七夜
482,21 JUMP STREET,龙虎少年队,喜剧,立体声,1:45:04,2012,美国,15718,3205,None,13217,http://movie.douban.com/subject/3072889/,2012,21 Jump Street,5305,6.7,35,龙虎少年队
483,Twister,龙卷风,动作,,2:00:00,1996,美国,22491,1751,None,16212,http://movie.douban.com/subject/1292454/,1996,Twister,1739,7.1,10,龙卷风
484,The Girl with the Dragon Tattoo,龙纹身的女孩(2011),罪案,环绕声，多声道,2:28:54,2011,美国,124827,44227,None,99782,http://movie.douban.com/subject/4206357/,2011,The Girl with the Dragon Tattoo,37475,8,393,龙纹身的女孩
485,ACCEPTED,录取通知,喜剧,环绕声，多声道,1:29:08,2006,美国,41488,7128,None,31246,http://movie.douban.com/subject/1815638/,2006,Accepted,6724,7.4,173,录取通知
486,Gone with the Wind,乱世佳人,爱情,立体声,3:31:41,1939,美国,254965,44210,None,174494,http://movie.douban.com/subject/1300267/,1939,Gone with the Wind,36288,9.2,619,乱世佳人
487,84 CHARING CROSS ROAD,伦敦査林十字街84号,剧情,立体声,1:36:13,1987,美国,7764,12320,None,5973,http://movie.douban.com/subject/1299481/,1987,84 Charing Cross Road,2280,8.5,88,查令十字街84号
488,ROBIN HOOD,罗宾汉,动作,环绕声，多声道,2:14:32,2010,美国,21997,4709,None,17895,http://movie.douban.com/subject/2062677/,2010,Robin Hood,5131,6.6,156,罗宾汉
489,balllelosaiigeles,洛杉矶之战,科幻,立体声,1:55:38,2011,美国,89157,11359,None,72014,http://movie.douban.com/subject/3041264/,2011,Battle: Los Angeles,28291,5.9,805,洛杉矶之战
490,SNOW FALLING ON CEDARS,落在香杉树的雪花,剧情,环绕声，多声道,2:01:50,1999,美国,963,1072,None,705,http://movie.douban.com/subject/1296576/,1999,Snow Falling on Cedars,177,7.3,23,落在香杉树的雪花
491,Green Lantern,绿灯侠,科幻,环绕声，多声道,1:53:44,2011,美国,44281,5191,None,36132,http://movie.douban.com/subject/2364054/,2011,Green Lantern,13448,5.7,214,绿灯侠
492,Green Lantern: Emera]d Knights,绿灯侠：翡翠骑士,奇幻,环绕声，多声道,1:23:36,2011,美国,1625,225,None,1265,http://movie.douban.com/subject/5967755/,2011,Green Lantern: Emerald Knights,383,6.5,4,绿灯侠:翡翠骑士
493,"HULK, THE",绿巨人,科幻,环绕声，多声道,2:12:24,2003,美国,46960,3551,None,33988,http://movie.douban.com/subject/1307354/,2003,Hulk,5732,6.3,77,绿巨人
494,Green Card,绿卡,爱情,,2:00:00,1990,法国/美国,6209,2738,None,4372,http://movie.douban.com/subject/1293651/,1990,Green Card,666,7.4,15,绿卡
495,GREEN ZONE,绿色地带,动作,环绕声，多声道,1:50:18,2010,美国,18930,4810,None,15561,http://movie.douban.com/subject/2131649/,2010,Green Zone,3959,7.1,115,绿区
496,"GREEN MILE, THE",绿色奇迹,剧情,环绕声，多声道,2:57:00,1999,美国,88986,28063,None,67954,http://movie.douban.com/subject/1300374/,1999,The Green Mile,13100,8.6,363,绿里奇迹
497,MAMMA MIA!,妈妈咪呀,喜剧,环绕声，多声道,1:44:04,2008,美国,49323,10510,None,38039,http://movie.douban.com/subject/2054024/,2008,Mamma Mia!,9285,7.3,207,妈妈咪呀
498,Madagascar,马达加斯加,动画,,2:00:00,2012,美国,113795,25420,None,92709,http://movie.douban.com/subject/3178770/,2012,Madagascar 3: Europe's Most Wanted,40170,8.3,465,马达加斯加3
499,Madagascar: Escape 2 Africa,马达加斯加2:逃往非洲,动画,,2:00:00,2008,美国,80202,5165,None,60559,http://movie.douban.com/subject/1994876/,2008,Madagascar: Escape 2 Africa,7345,7.4,149,马达加斯加2：逃往非洲
500,Marvin's Room,马文的房间,剧情,,2:00:00,1996,美国,3409,4209,None,2605,http://movie.douban.com/subject/1293387/,1996,Marvin's Room,768,7.7,17,马文的房间
501,The Horse Whisperer,马语者,爱情,,2:00:00,1998,美国,14854,10979,None,10090,http://movie.douban.com/subject/1297769/,1998,The Horse Whisperer,1929,8,81,马语者
502,Matilda,玛蒂尔达,剧情,立体声,1:30:00,1996,美国,993,785,None,767,http://movie.douban.com/subject/1296148/,1996,Matilda,231,7.7,2,玛蒂尔达
