序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
33,LEATHERHEADS,爱情达阵,剧情,环绕声，多声道,1:48:23,2008,美国,2064,1111,None,1602,http://movie.douban.com/subject/1905788/,2008,Leatherheads,328,6.5,17,爱情达阵
34,LITTLE BLACK BOOK,爱情黑名单,爱情,立体声,1:46:25,2004,美国,1148,597,None,851,http://movie.douban.com/subject/1308856/,2004,Little Black Book,225,6.7,10,爱情黑名单
35,Anna Karenina,安娜·卡列尼娜,爱情,,2:00:00,2012,英国,45949,38108,None,36520,http://movie.douban.com/subject/6110546/,2012,Anna Karenina,18329,7.1,371,安娜·卡列尼娜
36,CRIMSON RIVERS，THE,暗流,惊悚,立体声,1:45:08,2000,美国,14816,3370,None,10777,http://movie.douban.com/subject/1301328/,2000,Les rivières pourpres,1520,7.3,30,暗流
37,PRIDE AND PREJUDICE,傲慢与偏见,剧情,环绕声，多声道,2:01:14,2005,美国,268515,32837,None,191574,http://movie.douban.com/subject/1418200/,2005,Pride & Prejudice,43796,8.2,850,傲慢与偏见
38,MINDHUNTERS,八面埋伏,罪案,立体声,1:36:41,2004,美国,53164,12014,None,42527,http://movie.douban.com/subject/1309064/,2004,Mindhunters,10345,7.5,108,八面埋伏
39,The Tailor of Panama,巴拿马裁缝,惊悚,立体声,1:41:38,2001,美国,1212,438,None,885,http://movie.douban.com/subject/1301559/,2001,The Tailor of Panama,199,6.2,7,巴拿马裁缝
40,THAT'S MY BOY (2012),爸爸的好儿子,喜剧,环绕声，多声道,1:46:03,2012,美国,7514,3344,None,6139,http://movie.douban.com/subject/3072888/,2012,That's My Boy,2617,6.6,15,爸爸的好儿子
41,Daddy's Little Girls,爸爸的女儿们,剧情,,2:00:00,2007,美国,403,501,None,280,http://movie.douban.com/subject/1908406/,2007,Daddy's Little Girls,69,7.2,3,爸爸的女儿们
42,"AMERICAN PRESIDENT, THE",白宫奇缘,爱情,环绕声，多声道,1:48:52,1995,美国,1534,888,None,1184,http://movie.douban.com/subject/1293740/,1995,The American President,314,6.7,7,美国总统
