序号,英文名称,节目名称,类型,集数,时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
23,No one like yu,小优无双,剧情,40,60,2005,日本,15,11,8,17,http://movie.douban.com/subject/6436448/,2005,ファイト,8,0,0,小优无双
24,Doctor in love,小早川伸木之恋,爱情,11,60,,日本,316,249,18,248,http://movie.douban.com/subject/2276937/,,小早川伸木の恋,61,6.8,7,小早川伸木之恋
25,1 Litre Tears,一公升眼泪,剧情,11,60,2005,日本,12404,2923,None,8410,http://movie.douban.com/subject/1782964/,2005,1リットルの涙,1531,7.6,36,一公升的眼泪
26,Engine,引擎,爱情,11,60,2006,日本,73,205,19,55,http://movie.douban.com/subject/2979655/,2006,hyperdrive,18,7.3,0,超光速引擎
27,,回家的诱惑,剧情,33,60,2011,中国大陆,,,,,,2011,,,,,
28,,回家的欲望,剧情,35,60,2011,中国大陆,,,,,,2011,,,,,
29,The Gem of Life,珠光宝气,剧情,82,60,2008,中国香港,32298,2981,4400,26664,http://movie.douban.com/subject/2996855/,2008,珠光寶氣,4763,7.3,384,珠光宝气
30,,精忠岳飞,古装/历史,69,60,2013,中国大陆,2402,916,693,2530,http://movie.douban.com/subject/6539421/,2013,精忠岳飞,1003,6.6,195,精忠岳飞
31,,告密者,悬疑/谍战,27,60,2010,中国大陆,1215,388,129,1052,http://movie.douban.com/subject/4840357/,2010,告密者,386,7.2,24,告密者
32,,媳妇的美好宣言,都市、爱情,33,60,2012,中国大陆,783,43,34,614,http://movie.douban.com/subject/6796113/,2012,媳妇的美好宣言,226,5.5,3,媳妇的美好宣言
33,,红攻瑰，黑攻瑰,女性悬疑商,31,60,2010,中国大陆,,,,,,2010,,,,,
31,,圣堂风云,谍战/爱情,30,60,2011,中国大陆,,,,,,2011,,,,,
35,,迷失的情感,家庭/情感,23,60,2011,中国大陆,,,,,,2011,,,,,
36,,春光灿烂猪九妹,古装/神话,29,60,2010,中国大陆,,,,,,2010,,,,,
37,,下南洋,剧情/战争,40,60,2009,中国大陆,,,,,,2009,,,,,
