序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
77,Transformers: Revenge of the Fallen,变形金刚2,科幻,,2:00:00,2009,美国
78,"Ant Bully, The",别惹蚂蚁,动画,立体声,1:25:18,2006,美国
79,The 11th Hour,濒临绝境,纪录,,2:00:00,2007,美国
80,Blades of Glory,冰刀双人组,运动,,2:00:00,2007,美国
81,Enemy at the Gates,兵临城下,战争,,2:00:00,2001,英美德
82,Prince of Persia: Sands of Time,波斯王子：时之刃,奇幻,,2:00:00,2010,美国
83,Unaccompanied Minors,不羁圣诞夜,家庭,,2:00:00,2006,美国
84,Unknown,不明身份,悬疑,环绕声，多声道,1:50:29,2011,美国
85,Unbreakable,不死劫,惊悚,,2:00:00,2000,美国
86,CONSTANT GARDENER，THE,不朽的园丁,剧情,环绕声，多声道,2:03:08,2005,美国
87,Phenomenon,不一样的本能,奇幻,,2:00:00,1996,美国
88,The Muppets,布偶大电影,家庭,,2:00:00,2011,美国
89,,财神到,喜剧,立体声,1:45:16,2010,中国大陆
90,The Tibetan Dog,藏獒多吉,动画,立体声,1:30:42,2011,中国大陆
91,Safe House,藏身之所,罪案,环绕声，多声道,1:54:20,2012,美国
92,CHARLIE ST. CLOUD,查理的生与死,奇幻,环绕声，多声道,1:34:49,2010,美国
93,Charlie and the Chocolate Factory,查理和巧克力工厂,奇幻,立体声,1:49:51,2005,美国
94,"AMAZING SPIDER-MAN, THE",超凡蜘蛛侠,科幻,立体声,2:10:38,2012,美国
95,Super 8,超级八,科幻,,2:00:00,2011,美国
96,The Game Plan,超级杯奶爸,喜剧,,2:00:00,2007,美国
97,"Incredible Burt Wonderstone, The",超级魔术师,喜剧,环绕声，多声道,1:40:14,2013,美国
98,The Pacifier,超级奶爸,喜剧,,2:00:00,2005,加拿大/美国
99,Battleship,超级战舰,科幻,环绕声，多声道,2:09:47,2012,美国
100,Man of Steel,超人:钢铁之躯,,立体声,2:22:57,2013,美国
101,DCU: Superman: Unbound,超人:挣脱束缚,动画,环绕声，多声道,1:14:06,2013,美国
102,Superman Ⅱ,超人2,奇幻,立体声,2:02:10,1981,美国
103,Superman Vs. the Elite,超人大战猎杀团,动画,环绕声，多声道,1:14:06,2012,美国
104,Superman Returns,超人归来,科幻,立体声,2:32:28,2006,美国
105,"PERFECT MAN, THE",超完美男人,爱情,环绕声，多声道,1:36:19,2005,美国
106,Rails ＆ Ties,车祸情缘,剧情,,2:00:00,2007,美国
107,The Quiet,沉默,惊悚,立体声,1:34:44,2006,美国
108,BOND OF SILENCE,沉默的联系,电视电影,立体声,1:27:09,2010,美国
109,The Pact of Silence,沉默的约定,惊悚,立体声,1:24:51,2003,法国
110,EDUCATION. AN,成长教育,剧情,立体声,1:40:01,2009,美国
111,"Town, the",城中大盗,罪案,环绕声，多声道,2:04:33,2010,美国
112,"PUNISHER, THE: WAR ZONE",惩罚者2:战争特区,动作,立体声,1:36:20,2008,美国
113,Red Cliff,赤壁(上),古装,立体声,2:25:21,2008,中国大陆
114,Red Cliff Ⅱ,赤壁(下),古装,立体声,2:21:19,2009,中国大陆
115,go,冲吧,剧情,立体声,1:35:13,2001,美国
116,SERENITY,冲出宁静号,科幻,环绕声，多声道,1:53:56,2005,美国
117,Reservation Road,冲击之路,剧情,环绕声，多声道,1:37:30,2007,美国
118,SURF'S UP,冲浪企鹅,动画,立体声,1:25:32,2007,美国
119,The Ugly Truth,丑陋事实,喜剧,环绕声，多声道,1:35:49,2009,美国
120,TAXI DRIVER,出租车司机,罪案,立体声,1:53:01,1976,美国
121,50 FIRST DATES,初恋五十次,爱情,立体声,1:28:05,2004,美国
122,BEGINNERS,初学者,剧情,环绕声，多声道,1:38:59,2010,美国
123,The Lake House,触不到的恋人,奇幻,,2:00:00,2006,澳大利亚/美国
124,Bringing Out the Dead,穿梭阴阳界,惊悚,,2:00:00,1999,美国
125,"Adventures of Baron Muchausen, The",吹牛大王历险记,喜剧,立体声,2:01:10,1989,美国
126,VERTICAL LIMIT,垂直极限,冒险,环绕声，多声道,1:59:20,2000,美国
127,Hope Springs,春天的希望,喜剧,,2:00:00,2003,英国/美国
128,"AGE OF INNOCENCE, THE",纯真年代,剧情,立体声,2:18:19,1993,美国
129,The Treasure Hunter,刺陵,动作,立体声,1:46:00,2009,中国大陆
130,VANTAGE POINT,刺杀据点,惊悚,立体声,1:26:00,2008,美国
131,ASSASSINATION GAMES,刺杀游戏,动作,立体声,1:39:05,2011,美国
132,Hereafter,从今以后,奇幻,立体声,2:08:17,2010,美国
133,REIGN OVER ME,从心开始,剧情,立体声,2:02:59,2007,美国
134,OPEN SEASON (2006),丛林大反攻,动画,立体声,1:25:59,2006,美国
135,OPEN SEASON 3,丛林大反攻3,动画,立体声,1:14:24,2010,美国
136,The Da Vinci Code,达芬奇密码,悬疑,环绕声，多声道,2:28:36,2006,美国
137,JAWS,大白鲨,惊悚,立体声,1:58:47,1975,美国
138,Drillbit Taylor,大兵保镖,喜剧,,2:00:00,2008,美国
139,FAR AND AWAY,大地雄心,剧情,环绕声，多声道,2:13:54,1992,美国
140,IN GOOD COMPANY,大公司小老板,剧情,立体声,1:44:59,2004,美国
141,"LIAR, LIAR",大话王,奇幻,环绕声，多声道,1:22:41,1997,美国
142,"LIFE OF DAVID GALE, THE",大卫·戈尔的一生,剧情,立体声,2:02:53,2003,美国
143,BIG FISH,大鱼,奇幻,立体声,2:02:05,2003,美国
144,Sherlock Holmes,大侦探福尔摩斯,悬疑,,2:00:00,2009,美国
145,Sherlock Holmes: A Game of Shadows,大侦探福尔摩斯2：诡影游戏,悬疑,环绕声，多声道,2:02:31,2012,美国
146,The Waterboy,呆呆向前冲,运动,,2:00:00,1998,美国
147,BABY MAMA,代孕妈妈,喜剧,环绕声，多声道,1:34:48,2008,美国
148,DAMSELS IN DISTRESS,待解救的少女,剧情,立体声,1:34:49,2011,美国
149,he got game,单挑,剧情,立体声,2:04:46,1998,美国
150,When a Man Loves a Woman,当男人爱上女人,剧情,,2:00:00,1994,美国
151,"PURSUIT OF HAPPYNESS, THE (2006)",当幸福来敲门,剧情,环绕声，多声道,1:56:59,2006,美国
152,Inception,盗梦空间,悬疑,,2:00:00,2010,美国
153,STRAW DOGS,稻草狗,惊悚,环绕声，多声道,1:44:20,2011,美国
154,The Good German,德国好人,惊悚,,2:00:00,2006,美国
155,MR. DEEDS,迪兹先生,喜剧,立体声,1:35:50,2002,美国
156,GABRIEL,涤罪天使,动作,立体声,1:52:28,2007,美国
157,TAKING OF PELHAM 123．THE (2009),地铁惊魂,罪案,立体声,1:41:50,2009,美国
158,FIGHTING,地下拳击场,动作,环绕声，多声道,1:42:45,2009,美国
159,Journey to the Center of the Earth,地心历险记,科幻,,2:00:00,2008,美国
160,Journey 2: The Mysterious Island,地心历险记2：神秘岛,奇幻,环绕声，多声道,1:34:00,2012,美国
161,The Core,地心抢险记,冒险,,2:00:00,2003,英国/美国
162,HELLBOY,地狱男孩,科幻,环绕声，多声道,1:58:49,2002,美国
163,25th Hour,第25小时,罪案,,2:00:00,2002,美国
164,Son of Rambow,第二滴血,喜剧,,2:00:00,2008,英法德
165,SESSION 9,第九部分,悬疑,立体声,1:39:51,2001,美国
166,District 9,第九区,科幻,环绕声，多声道,1:52:08,2009,美国
167,MEET JOE BLACK,第六感生死恋,剧情,环绕声，多声道,2:52:50,1998,美国
168,The 6th Day,第六日,科幻,立体声,1:53:40,1999,美国
169,19TH WIFE,第十九个妻子,剧情,立体声,1:25:47,2010,美国
170,The 13th Warrior,第十三个勇士,冒险,,2:00:00,1999,美国
171,GUARDING TESS,第一夫人的保镖,喜剧,立体声,1:31:36,1994,美国
172,MONEYBALL,点球成金,剧情,环绕声，多声道,2:03:22,2011,美国
173,DEVIL,电梯里的恶魔,惊悚,环绕声，多声道,1:16:40,2010,美国
174,ARENA,电玩竞技场,科幻,环绕声，多声道,1:28:30,2011,美国
175,The Recruit,谍海计中计,惊悚,,2:00:00,2003,美国
176,"BOURNE IDENTITY, THE",谍影重重1,动作,环绕声，多声道,1:49:01,2002,美国
177,The Bourne Supremacy,谍影重重2,动作,环绕声，多声道,1:43:46,2004,美国
178,"Bourne Ultimatum, The",谍影重重3,动作,环绕声，多声道,1:50:26,2007,美国
179,"BOURNE LEGACY, THE",谍影重重4,动作,立体声,2:03:08,2012,美国
180,Mission: Impossible,碟中谍,动作,,2:00:00,1996,美国
